problem_id,variant_type,model,model_answer,ground_truth,verified,parse_status,correct_alternative,human_review_flag,correct_canonical,greedy_answer,gave_greedy_answer,difficulty_params_instance_type
CC_01,canonical,openai/o4-mini,"Count: 2
Coins: [3,3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,True,"Count: 2
 Coins: [3, 3]",True,adversarial
CC_01,W1,openai/o4-mini,"Count: 2 Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [3, 3]",True,adversarial
CC_01,W2,openai/o4-mini,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [3, 3]",True,adversarial
CC_01,W3,openai/o4-mini,"Total: 2 Scoops: [3, 3]","Total: 2
 Scoops: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",False,adversarial
CC_01,W4,openai/o4-mini,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [3, 3]",True,adversarial
CC_02,canonical,openai/o4-mini,"Count: 2
Coins: [6, 5]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,True,"Count: 2
 Coins: [5, 6]",False,adversarial
CC_02,W1,openai/o4-mini,"Count: 2 Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [5, 6]",True,adversarial
CC_02,W2,openai/o4-mini,"Count: 2
Coins: [6, 5]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [5, 6]",False,adversarial
CC_02,W3,openai/o4-mini,"Total: 2 Scoops: [6, 5]","Total: 2
 Scoops: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",False,adversarial
CC_02,W4,openai/o4-mini,"Count: 2
Coins: [5,6]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [5, 6]",True,adversarial
CC_03,canonical,openai/o4-mini,"Count: 2
Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_with_normalization,False,False,True,"Count: 2
 Coins: [6, 7]",True,adversarial
CC_03,W1,openai/o4-mini,"Count: 2 Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [6, 7]",True,adversarial
CC_03,W2,openai/o4-mini,"Count: 2
Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [6, 7]",True,adversarial
CC_03,W3,openai/o4-mini,"Total: 2 Scoops: [6, 7]","Total: 2
 Scoops: [6, 7]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [6, 7]",False,adversarial
CC_03,W4,openai/o4-mini,"Count: 2
Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [6, 7]",True,adversarial
CC_04,canonical,openai/o4-mini,"Count: 2
Coins: [10, 17]","Count: 2
Coins: [17, 10]",True,parsed_with_normalization,False,False,True,"Count: 2
Coins: [17, 10]",False,adversarial
CC_04,W1,openai/o4-mini,"Count: 2 Coins: [17, 10]","Count: 2
Coins: [17, 10]",True,parsed_with_normalization,False,False,False,"Count: 2
Coins: [17, 10]",True,adversarial
CC_04,W2,openai/o4-mini,"Count: 2
Coins: [17, 10]","Count: 2
Coins: [17, 10]",True,parsed_with_normalization,False,False,False,"Count: 2
Coins: [17, 10]",True,adversarial
CC_04,W3,openai/o4-mini,"Total: 2 Scoops: [17, 10]","Total: 2
Scoops: [17, 10]",True,parsed_clean,False,False,False,"Count: 2
Coins: [17, 10]",False,adversarial
CC_04,W4,openai/o4-mini,"Count: 2
Coins: [10, 17]","Count: 2
Coins: [17, 10]",True,parsed_with_normalization,False,False,False,"Count: 2
Coins: [17, 10]",False,adversarial
CC_05,canonical,openai/o4-mini,"Count: 2
Coins: [7, 7]","Count: 2
 Coins: [7, 7]",True,parsed_with_normalization,False,False,True,"Count: 2
 Coins: [7, 7]",True,adversarial
CC_05,W1,openai/o4-mini,"Count: 2 Coins: [7, 7]","Count: 2
 Coins: [7, 7]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [7, 7]",True,adversarial
CC_05,W2,openai/o4-mini,"Count: 2
Coins: [7, 7]","Count: 2
 Coins: [7, 7]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [7, 7]",True,adversarial
CC_05,W3,openai/o4-mini,"Total: 2 Scoops: [7, 7]","Total: 2
 Scoops: [7, 7]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [7, 7]",False,adversarial
CC_05,W4,openai/o4-mini,"Count: 2
Coins: [7, 7]","Count: 2
 Coins: [7, 7]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [7, 7]",True,adversarial
CC_06,canonical,openai/o4-mini,"Count: 3
Coins: [12, 7, 7]","Count: 3
 Coins: [12, 7, 7]",True,parsed_with_normalization,False,False,True,"Count: 3
 Coins: [12, 7, 7]",True,adversarial
CC_06,W1,openai/o4-mini,"Count: 3 Coins: [12, 7, 7]","Count: 3
 Coins: [12, 7, 7]",True,parsed_with_normalization,False,False,False,"Count: 3
 Coins: [12, 7, 7]",True,adversarial
CC_06,W2,openai/o4-mini,"Count: 3
Coins: [12, 7, 7]","Count: 3
 Coins: [12, 7, 7]",True,parsed_with_normalization,False,False,False,"Count: 3
 Coins: [12, 7, 7]",True,adversarial
CC_06,W3,openai/o4-mini,"Total: 3 Scoops: [12, 7, 7]","Total: 3
 Scoops: [12, 7, 7]",True,parsed_clean,False,False,False,"Count: 3
 Coins: [12, 7, 7]",False,adversarial
CC_06,W4,openai/o4-mini,"Count: 3
Coins: [7, 7, 12]","Count: 3
 Coins: [12, 7, 7]",True,parsed_with_normalization,False,False,False,"Count: 3
 Coins: [12, 7, 7]",False,adversarial
