problem_id,problem_family,variant_type,model,crystallization_layer,n_layers_processed,layer_cosine_similarities
CC_01,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8414, 0.9037, 0.8805, 0.8556, 0.8171, 0.8175, 0.8244, 0.8327, 0.8142, 0.821, 0.8382, 0.8365, 0.8363, 0.8256, 0.8403, 0.8549, 0.8441, 0.8529, 0.8601, 0.8576, 0.8849, 0.9079, 0.8963, 0.7632]"
CC_02,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6893, 0.8188, 0.7814, 0.746, 0.6714, 0.6758, 0.6892, 0.7034, 0.6741, 0.6939, 0.7137, 0.7148, 0.7181, 0.7045, 0.7339, 0.7657, 0.7476, 0.7731, 0.794, 0.7916, 0.8373, 0.8709, 0.8609, 0.6741]"
CC_03,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6885, 0.8187, 0.7813, 0.7473, 0.6721, 0.6762, 0.6889, 0.7032, 0.6739, 0.6937, 0.7139, 0.715, 0.7185, 0.7042, 0.734, 0.7657, 0.7476, 0.7732, 0.7937, 0.7923, 0.8384, 0.8716, 0.8609, 0.6756]"
CC_04,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8416, 0.9048, 0.8842, 0.8595, 0.8183, 0.8201, 0.8275, 0.8356, 0.8196, 0.827, 0.8438, 0.8431, 0.8424, 0.83, 0.8435, 0.8579, 0.8467, 0.8571, 0.8641, 0.8617, 0.8903, 0.9117, 0.9014, 0.7769]"
CC_05,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8413, 0.9043, 0.8825, 0.8577, 0.817, 0.8185, 0.8261, 0.8342, 0.8177, 0.8251, 0.8419, 0.8411, 0.8402, 0.8283, 0.8429, 0.8577, 0.8463, 0.8564, 0.8633, 0.8604, 0.889, 0.9106, 0.9, 0.7743]"
CC_06,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8417, 0.9044, 0.883, 0.8585, 0.8184, 0.8191, 0.8257, 0.8334, 0.8151, 0.8211, 0.8389, 0.8373, 0.8363, 0.8251, 0.84, 0.8546, 0.8438, 0.8528, 0.8603, 0.8576, 0.8856, 0.9083, 0.8969, 0.764]"
CC_07,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8416, 0.9046, 0.8828, 0.8581, 0.8184, 0.8194, 0.8261, 0.8336, 0.8152, 0.8216, 0.8392, 0.8376, 0.8366, 0.8255, 0.8406, 0.8554, 0.8444, 0.8537, 0.8616, 0.8589, 0.8871, 0.9093, 0.8981, 0.7634]"
CC_08,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8417, 0.9043, 0.8832, 0.8584, 0.8186, 0.8198, 0.8263, 0.8339, 0.8158, 0.8218, 0.8397, 0.8381, 0.8367, 0.8257, 0.8407, 0.8554, 0.8449, 0.8538, 0.8614, 0.859, 0.8866, 0.9091, 0.8981, 0.7648]"
CC_09,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8415, 0.9047, 0.8844, 0.8595, 0.8186, 0.8188, 0.8251, 0.8324, 0.8146, 0.8209, 0.8391, 0.837, 0.8368, 0.8247, 0.8389, 0.8537, 0.8434, 0.8534, 0.8613, 0.8593, 0.8874, 0.911, 0.9007, 0.7729]"
CC_10,Coin Change,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.8408, 0.9043, 0.8821, 0.8449, 0.809, 0.8085, 0.8173, 0.8252, 0.8082, 0.8132, 0.832, 0.83, 0.8289, 0.8143, 0.8313, 0.8464, 0.8382, 0.8494, 0.8571, 0.8562, 0.887, 0.9103, 0.8982, 0.7629]"
SP_001,Algorithmic Suit,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.3901, 0.5424, 0.5678, 0.5396, 0.5336, 0.547, 0.5701, 0.6017, 0.5898, 0.5566, 0.5844, 0.5827, 0.581, 0.5327, 0.5698, 0.5583, 0.5689, 0.6145, 0.6115, 0.607, 0.7046, 0.7614, 0.7602, 0.456]"
