problem_id,variant_type,model,behavioral_correct,raw_response,family,correct_answer,verify_family
GSM_001,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"20 * 0.9 = 18
66 * 0.5 = 33
18 + 33 = 51
51",gsm,51,gsm
GSM_001,W3,meta-llama/Llama-3.1-8B-Instruct,False,"For the first 20 minutes, the hiker burns 0.9 * 20 = 18 calories. 
For the remaining 86 - 20 = 66 minutes, the hiker burns 0.5 * 66 = 33 calories. 
Total calories burned = 18 + 33 = 51.",gsm,51,gsm
GSM_002,canonical,meta-llama/Llama-3.1-8B-Instruct,False,18 + (2/3 * 18) = 18 + 12 = 30,gsm,30,gsm
GSM_002,W3,meta-llama/Llama-3.1-8B-Instruct,False,18 + (2/3 * 18) = 18 + 12 = 30,gsm,30,gsm
GSM_003,canonical,meta-llama/Llama-3.1-8B-Instruct,False,30 + (50/100 * 30) + (30 + (50/100 * 30)) = 30 + 15 + 45 = 90,gsm,150,gsm
GSM_003,W3,meta-llama/Llama-3.1-8B-Instruct,False,"30 + 50% of 30 + 30 + 50% of (30 + 30) 
= 30 + 15 + 30 + 75 
= 150",gsm,150,gsm
GSM_004,canonical,meta-llama/Llama-3.1-8B-Instruct,False,52 * 2 * 6 * 150 = 93600,gsm,21600,gsm
GSM_004,W3,meta-llama/Llama-3.1-8B-Instruct,False,365 * 2 * 6 * 150 = 219000,gsm,21600,gsm
GSM_005,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"60 * 7 = 420 minutes per day
420 * 6 = 2520 minutes per week for classes
1/7 * 2520 = 360 minutes per week for extra learning time
2520 + 360 = 2880 minutes per week
2880 / 60 = 48 hours per week",gsm,54,gsm
GSM_005,W3,meta-llama/Llama-3.1-8B-Instruct,False,"6 * 60 * 7 + (60 * 60 * 1/7) + (60 * 60 * 1/7) 
= 2520 + 72 + 72 
= 2664",gsm,54,gsm
GSM_006,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"To find the final value of Kayla's shares, we need to calculate the value after the first year and then the value after the second year.

Initial value of shares = 10 shares * €56 = €560

After the first year, the stock price increases by 30%:
New value = €560 + (30% of €560) = €560 + €168 = €728

After the second year, the stock price decreases by 25%:
New value = €728 - (25% of €728) = €728 - €182 = €546

The final value of Kayla's shares is €546.",gsm,546,gsm
GSM_006,W3,meta-llama/Llama-3.1-8B-Instruct,False,"First, calculate the increase in the first year:
56 * 1.3 = 72.8

Then, calculate the decrease in the second year:
72.8 * 0.75 = 54.6

Now, multiply the final value of one painting by the total number of paintings:
54.6 * 10 = 546",gsm,546,gsm
GSM_007,canonical,meta-llama/Llama-3.1-8B-Instruct,False,2,gsm,30,gsm
GSM_007,W3,meta-llama/Llama-3.1-8B-Instruct,False,2 * 10 + 2 * 20 = 60,gsm,30,gsm
GSM_008,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"To solve this problem, we can use the formula for exponential growth:

A = P(1 + r)^t

Where:
A = final amount
P = initial amount (16 people)
r = growth rate (3 people per person per day)
t = time (3 days)

A = 16(1 + 3)^3
A = 16(4)^3
A = 16 * 64
A = 1024

However, this formula assumes that the growth is continuous. Since the growth is discrete (each person infects 3 others each day), we need to use a different approach.

Let's calculate the number of people infected each day:

Day 1: 16 people (initially infected) + 16 * 3 = 16 + 48 = 64 people
Day 2: 64 people (infected on Day 1) + 64 * 3 = 64 + 192 = 256 people
Day 3: 256 people (infected on Day 1 and 2) + 256 * 3 = 256 + 768 = 1024 people

However, this counts the people who were infected on Day 1 twice (once for each day they",gsm,1024,gsm
GSM_008,W3,meta-llama/Llama-3.1-8B-Instruct,False,16384,gsm,1024,gsm
GSM_009,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"To find the total number of eggs Nia eats in 108 days, we need to calculate the total number of eggs she eats in the first 84 days and the next 24 days, then add them together.

In the first 84 days, Nia eats 5 eggs a day for 84 days. 
5 eggs/day * 84 days = 420 eggs

In the next 24 days, Nia eats 7 eggs a day.
7 eggs/day * 24 days = 168 eggs

Total number of eggs = 420 + 168 = 588 eggs

Since 1 dozen = 12 eggs, we need to divide the total number of eggs by 12 to get the number of dozens.
588 / 12 = 49",gsm,49,gsm
GSM_009,W3,meta-llama/Llama-3.1-8B-Instruct,False,"5 * 84 = 420 
420 + (7 * 24) = 420 + 168 = 588 
588 / 12 = 49",gsm,49,gsm
GSM_010,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"60 + (4 * 60) + (6 * 4 * 60) + (0.5 * 6 * 4 * 60) + (0.25 * 0.5 * 6 * 4 * 60) = 
60 + 240 + 1440 + 360 + 180 = 2080",gsm,885,gsm
GSM_010,W3,meta-llama/Llama-3.1-8B-Instruct,False,"60 + (4 * 60) + (6 * 4 * 60) + (0.5 * 6 * 4 * 60) + (0.25 * 0.5 * 6 * 4 * 60) = 
60 + 240 + 1440 + 360 + 180 = 2080",gsm,885,gsm
GSM_011,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"To find out how much water Pavel has left, we need to calculate the total amount of water used for each type of cube and subtract that from the total amount of water he has.

Giant cubes: 8 * 12 = 96 grams
Medium cubes: 13 * 11 = 143 grams
Small cubes: 15 * 0.2 = 3 grams

Total water used: 96 + 143 + 3 = 242 grams

Water left: 328 - 242 = 86 grams.",gsm,86,gsm
GSM_011,W3,meta-llama/Llama-3.1-8B-Instruct,False,"328 - (8 * 12) - (13 * 11) - (15 * 0.2) 
328 - 96 - 143 - 3 
86",gsm,86,gsm
GSM_012,canonical,meta-llama/Llama-3.1-8B-Instruct,False,29 + (7 * 52) - (6 * 52) = 29 + 364 - 312 = 81,gsm,81,gsm
GSM_012,W3,meta-llama/Llama-3.1-8B-Instruct,False,"29 + (7 * 52) - (6 * 52) 
= 29 + 364 - 312 
= 81",gsm,81,gsm
GSM_013,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"To solve this problem, we need to first find Mia's speed on the beach and on the sidewalk. 

Let's assume her speed on the beach is x km/h. Then, her speed on the sidewalk is 2x km/h.

Since she walks 12 km on the beach, the time it takes her to walk on the beach is 12/x hours. Since she walks 12 km on the sidewalk, the time it takes her to walk on the sidewalk is 12/(2x) hours.

We are given that 60 minutes of her walk is spent on the beach. We need to convert this to hours: 60 minutes = 1 hour.

So, we can set up the equation: 12/x = 1.

Solving for x, we get x = 12 km/h.

Now, we can find the time it takes her to walk on the sidewalk: 12/(2x) = 12/(2*12) = 0.5 hours.

The total time it takes her to complete the entire 24-kilometer walk is 1 + 0.5 = 1.5 hours.

To convert this to minutes, we multiply by 60: 1.5 * 60 = 90",gsm,90,gsm
GSM_013,W3,meta-llama/Llama-3.1-8B-Instruct,False,12,gsm,90,gsm
GSM_014,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"210 floors / 10 days = 21 floors per day
21 floors / 10 hours = 2.1 floors per hour
10 hours * 60 minutes = 600 minutes per day
2.1 floors * 20 minutes per floor = 42 minutes per day spent cleaning floors
(42 minutes / 600 minutes) * 100 = 7%",gsm,70,gsm
GSM_014,W3,meta-llama/Llama-3.1-8B-Instruct,False,0.08333333333333333,gsm,70,gsm
GSM_015,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"To find the total amount Viktor will make, we need to round the prices of each plant to the nearest dollar and multiply by the number of bundles sold.

Tulips: $2.25 rounded to the nearest dollar is $2
Roses: $5.13 rounded to the nearest dollar is $5
Sunflowers: $5.47 rounded to the nearest dollar is $5

Now, let's calculate the total amount for each plant:
Tulips: 12 bundles * $2 = $24
Roses: 29 bundles * $5 = $145
Sunflowers: 37 bundles * $5 = $185

Now, let's add the total amount for each plant:
$24 + $145 + $185 = $354",gsm,354,gsm
GSM_015,W3,meta-llama/Llama-3.1-8B-Instruct,False,"12 * 2 = 24
24 * 1 = 24
24 + (29 * 5) = 24 + 145 = 169
169 + (37 * 5) = 169 + 185 = 354
354 * 1 = 354
354",gsm,354,gsm
GSM_016,canonical,meta-llama/Llama-3.1-8B-Instruct,False,120,gsm,5,gsm
GSM_016,W3,meta-llama/Llama-3.1-8B-Instruct,False,"6 * 4 + 12 * 5 + 32 * 43 + 18 * 15 + 43 + 27 = 24 + 60 + 1352 + 270 + 43 + 27 = 1416
1416 / 120 = 11.8
Since you can't have a fraction of a trip, you round up to the nearest whole number.
11.8 -> 12",gsm,5,gsm
