problem_id,model,prose_var,w4_var,gap,contamination_pole,difficulty
GSM_001,anthropic/claude-3.7-sonnet,0.6666666666666666,0.0,0.6666666666666666,high,medium
GSM_002,anthropic/claude-3.7-sonnet,0.6666666666666666,1.0,-0.33333333333333337,high,easy
GSM_003,anthropic/claude-3.7-sonnet,0.6666666666666666,0.0,0.6666666666666666,high,medium
GSM_004,anthropic/claude-3.7-sonnet,0.6666666666666666,1.0,-0.33333333333333337,high,easy
GSM_005,anthropic/claude-3.7-sonnet,0.3333333333333333,1.0,-0.6666666666666667,high,hard
GSM_006,anthropic/claude-3.7-sonnet,1.0,1.0,0.0,high,medium
GSM_007,anthropic/claude-3.7-sonnet,1.0,0.0,1.0,high,hard
GSM_008,anthropic/claude-3.7-sonnet,0.6666666666666666,0.0,0.6666666666666666,high,medium
GSM_009,anthropic/claude-3.7-sonnet,0.0,1.0,-1.0,high,medium
GSM_010,anthropic/claude-3.7-sonnet,0.3333333333333333,0.0,0.3333333333333333,medium,medium
GSM_011,anthropic/claude-3.7-sonnet,0.3333333333333333,0.0,0.3333333333333333,medium,medium
GSM_012,anthropic/claude-3.7-sonnet,0.3333333333333333,1.0,-0.6666666666666667,medium,medium
GSM_013,anthropic/claude-3.7-sonnet,1.0,1.0,0.0,medium,medium
GSM_014,anthropic/claude-3.7-sonnet,1.0,1.0,0.0,medium,medium
GSM_015,anthropic/claude-3.7-sonnet,0.0,0.0,0.0,medium,hard
GSM_016,anthropic/claude-3.7-sonnet,0.6666666666666666,0.0,0.6666666666666666,medium,hard
GSM_017,anthropic/claude-3.7-sonnet,0.0,1.0,-1.0,medium,hard
GSM_018,anthropic/claude-3.7-sonnet,0.6666666666666666,0.0,0.6666666666666666,medium,hard
GSM_019,anthropic/claude-3.7-sonnet,0.3333333333333333,1.0,-0.6666666666666667,medium,hard
GSM_020,anthropic/claude-3.7-sonnet,0.3333333333333333,0.0,0.3333333333333333,medium,hard
GSM_001,meta-llama/llama-3.1-8b-instruct,1.0,0.0,1.0,high,medium
GSM_002,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,1.0,-0.6666666666666667,high,easy
GSM_003,meta-llama/llama-3.1-8b-instruct,0.6666666666666666,0.0,0.6666666666666666,high,medium
GSM_004,meta-llama/llama-3.1-8b-instruct,0.0,0.0,0.0,high,easy
GSM_005,meta-llama/llama-3.1-8b-instruct,0.0,1.0,-1.0,high,hard
GSM_006,meta-llama/llama-3.1-8b-instruct,0.0,0.0,0.0,high,medium
GSM_007,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,high,hard
GSM_008,meta-llama/llama-3.1-8b-instruct,0.6666666666666666,1.0,-0.33333333333333337,high,medium
GSM_009,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,high,medium
GSM_010,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,1.0,-0.6666666666666667,medium,medium
GSM_011,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,1.0,-0.6666666666666667,medium,medium
GSM_012,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,medium,medium
GSM_013,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,medium,medium
GSM_014,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,medium,medium
GSM_015,meta-llama/llama-3.1-8b-instruct,0.6666666666666666,0.0,0.6666666666666666,medium,hard
GSM_016,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,medium,hard
GSM_017,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,medium,hard
GSM_018,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,medium,hard
GSM_019,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,0.0,0.3333333333333333,medium,hard
