problem_id,model,correct_canonical_variant,parse_failed_canonical,correct_W3,parse_failed_W3,correct_canonical,gave_greedy_answer,any_parse_failed,VAR_canonical,VAR_W3,VRI_gap,problem_subtype,instance_type,greedy_succeeds_expected,critical_step_index,instance_contamination_score,template_contamination_score,difficulty_numeric,ADC_adversarial,ADC_standard,CCI_algorithm,CCI_composite,CCI_critical,CCI_first_decision,CPP,FDI_later_stability,FDI_step0,RDI_adversarial,RDI_standard,RTDA_adversarial_algorithm_invocation,RTDA_adversarial_forward_simulation,RTDA_adversarial_local_greedy,RTDA_adversarial_unclear,RTDA_standard_algorithm_invocation,RTDA_standard_forward_simulation,RTDA_standard_local_greedy,RTDA_standard_unclear,SC,TEP_refined,greedy_assessment_correct,critical_point_identified,greedy_assessment_correct_bool,critical_point_identified_num,gave_greedy_answer_bool,greedy_succeeds_expected_bool,greedy_succeeds,instance_rank_pct,instance_contamination_half,ACI,missing_core,missing_phase2,parse_failure_or_missing,convergence_label
CC_01,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,4,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_02,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,4,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_03,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,5,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_04,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,6,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_05,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,5,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_06,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,5,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_07,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,5,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_08,anthropic/claude-3.7-sonnet,False,False,False,True,False,,True,0.0,0.0,0.0,coin_change,adversarial,False,0,0.0,1.0,5,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_09,anthropic/claude-3.7-sonnet,False,False,False,True,False,,True,0.0,0.0,0.0,coin_change,adversarial,False,2,0.0,1.0,6,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
CC_10,anthropic/claude-3.7-sonnet,False,False,False,True,False,,True,0.0,0.0,0.0,coin_change,adversarial,False,3,0.0,1.0,7,1.0,,0.2,0.1666666666666666,0.3,0.0,0.0,,0.0,0.0866666666666666,,,,,,,,,,0.8333333333333333,,,,,,,False,0.0,0.5166666666666667,top,0.2,False,False,True,ambiguous
SP_001,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,shortest_path,standard,True,-1,0.0,1.0,23,1.0,0.0,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,,0.0,0.2,0.4333333333333333,,,,,,,,,1.0,,,,,,,True,0.0,0.5333333333333333,top,0.6666666666666666,False,False,True,ambiguous
SP_002,anthropic/claude-3.7-sonnet,True,False,False,True,True,,True,1.0,0.0,1.0,shortest_path,standard,True,-1,0.0,1.0,50,1.0,0.0,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,,0.0,0.2,0.4333333333333333,,,,,,,,,1.0,,,,,,,True,0.0,0.5333333333333333,top,0.6666666666666666,False,False,True,ambiguous
SP_003,anthropic/claude-3.7-sonnet,False,False,False,True,False,,True,0.0,0.0,0.0,shortest_path,adversarial,False,1,0.0,1.0,81,1.0,0.0,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,,0.0,0.2,0.4333333333333333,,,,,,,,,1.0,,,,,,,False,0.0,0.5333333333333333,top,0.6666666666666666,False,False,True,ambiguous
