path,layer,family,probe,artifact_type,question_bank,producer_script,tag,present,format,data_rows,bytes,mtime_utc
results/raw/BW_P1_behavioral.csv,raw,BW,P1,behavioral_sweep,question_bank_bw.csv,scripts/BW_P1_SCR_run_behavioral_sweep.py,bank_run,True,csv,74560,2167540,2026-05-22T06:45:29Z
results/raw/GSM_P1_behavioral_claude.csv,raw,GSM,P1,behavioral_sweep,question_bank_gsm.csv,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,bank_run,True,csv,6306,222483,2026-05-22T12:45:29Z
results/raw/GSM_P1_behavioral_gpt4o.csv,raw,GSM,P1,behavioral_sweep,question_bank_gsm.csv,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,bank_run,True,csv,3735,137492,2026-05-19T09:17:55Z
results/raw/GSM_P1_behavioral_llama.csv,raw,GSM,P1,behavioral_sweep,question_bank_gsm.csv,scripts/BW_P1_SCR_run_behavioral_sweep.py --family arithmetic_reasoning,bank_run,True,csv,3708,382109,2026-05-19T09:17:55Z
results/raw/ALGO_P1_behavioral_claude.csv,raw,ALGO,P1,behavioral_sweep,question_bank_algo.csv,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,bank_run,True,csv,24655,895948,2026-05-21T23:45:13Z
results/raw/ALGO_P1_behavioral_gpt4o.csv,raw,ALGO,P1,behavioral_sweep,question_bank_algo.csv,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,bank_run,True,csv,10640,563763,2026-05-22T00:38:14Z
results/raw/ALGO_P1_behavioral_llama.csv,raw,ALGO,P1,behavioral_sweep,question_bank_algo.csv,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,bank_run,True,csv,19890,1563641,2026-05-21T21:36:29Z
results/raw/ALGO_P1_review_queue.csv,raw,ALGO,P1,review_queue,question_bank_algo.csv,scripts/ALGO_P1_SCR_run_behavioral_sweep.py,bank_run_aux,True,csv,2115,162878,2026-05-22T00:32:27Z
results/raw/BW_P2_plans.csv,raw,BW,P2,plans,question_bank_bw.csv,scripts/BW_P2_SCR_extract_phase1_plans.py,bank_run,True,csv,2326,103552,2026-05-22T12:18:42Z
results/raw/BW_P2_cci.csv,raw,BW,P2,cci,question_bank_bw.csv,scripts/BW_P2_SCR_run_cci.py,bank_run,True,csv,150,254786,2026-05-22T14:16:59Z
results/raw/BW_P2_tep.csv,raw,BW,P2,tep,question_bank_bw.csv,scripts/BW_P2_SCR_run_tep.py,bank_run,True,csv,536,532387,2026-05-22T15:25:07Z
results/raw/GSM_P2_cci.csv,raw,GSM,P2,cci,question_bank_gsm.csv,scripts/GSM_P2_SCR_run_probe2.py,bank_run,True,csv,84,7808,2026-05-22T12:18:45Z
results/raw/GSM_P2_phase1_claude.csv,raw,GSM,P2,phase1,question_bank_gsm.csv,scripts/GSM_P2_SCR_run_probe2.py,bank_run,True,csv,44,29021,2026-05-22T09:39:30Z
results/raw/GSM_P2_phase1_gpt4o.csv,raw,GSM,P2,phase1,question_bank_gsm.csv,scripts/GSM_P2_SCR_run_probe2.py,bank_run,True,csv,44,16819,2026-05-22T10:00:18Z
results/raw/GSM_P2_phase1_llama.csv,raw,GSM,P2,phase1,question_bank_gsm.csv,scripts/GSM_P2_SCR_run_probe2.py,bank_run,True,csv,44,91813,2026-05-22T10:14:46Z
