model,variant,accuracy,n
Claude,canonical,0.8409090909090909,44
Claude,W1,0.8409090909090909,44
Claude,W2,0.7727272727272727,44
Claude,W3,0.75,44
Claude,W4,0.6363636363636364,44
Claude,W5,0.8181818181818182,44
Claude,W6,0.75,24
Gemini-2.5,canonical,0.9090909090909091,44
Gemini-2.5,W1,0.8181818181818182,44
Gemini-2.5,W2,0.6363636363636364,44
Gemini-2.5,W3,0.5227272727272727,44
Gemini-2.5,W4,0.4772727272727273,44
Gemini-2.5,W5,0.6136363636363636,44
Gemini-2.5,W6,0.9583333333333334,24
Llama-8B,canonical,0.8,20
Llama-8B,W1,0.85,20
Llama-8B,W2,0.25,20
Llama-8B,W3,0.15,20
Llama-8B,W4,0.3,20
Llama-8B,W5,0.05,20
Llama-8B,W6,0.45,20
GPT-4o,canonical,0.85,20
GPT-4o,W1,0.75,20
GPT-4o,W2,0.3,20
GPT-4o,W3,0.3,20
GPT-4o,W4,0.2,20
GPT-4o,W5,0.3,20
GPT-4o,W6,0.8,20
o4-mini,canonical,0.8409090909090909,44
o4-mini,W1,0.8636363636363636,44
o4-mini,W2,0.8181818181818182,44
o4-mini,W3,0.8409090909090909,44
o4-mini,W4,0.6818181818181818,44
o4-mini,W5,0.8863636363636364,44
o4-mini,W6,0.8333333333333334,24
