family,model,acc_canonical,acc_w3,vri,canonical_n_valid,bank_status,w3_retention
ALGO,Claude,0.3636363636363636,0.0909090909090909,0.403030303030303,110,full_bank,0.25
ALGO,GPT-4o,0.4272727272727272,0.1727272727272727,0.15757575757575756,110,full_bank,0.4042553191489362
ALGO,Gemini,0.4636363636363636,0.2545454545454545,0.12121212121212122,110,full_bank,0.5490196078431372
ALGO,Llama,0.0636363636363636,0.0181818181818181,0.051515151515151555,110,full_bank,0.2857142857142857
ALGO,o4-mini,1.0,0.6090909090909091,0.042424242424242364,110,full_bank,0.6090909090909091
BW,Claude,0.1538461538461538,0.1384615384615384,-0.03589743589743592,65,full_bank,0.9
BW,GPT-4o,0.0615384615384615,0.1692307692307692,-0.08205128205128205,65,full_bank,2.75
BW,Gemini,0.3846153846153846,0.1076923076923077,-0.015384615384615427,65,full_bank,0.28
BW,Llama,0.0153846153846153,0.1076923076923077,-0.09230769230769237,65,full_bank,7.0
BW,o4-mini,0.7692307692307693,0.1846153846153846,0.45128205128205134,65,full_bank,0.24
GSM,Claude,0.8409090909090909,0.75,0.0,44,full_bank,0.8918918918918919
GSM,GPT-4o,0.85,0.3,0.1166666666666667,20,20/44 bank-valid,0.3529411764705882
GSM,Gemini,0.9090909090909092,0.5227272727272727,0.12121212121212122,44,full_bank,0.575
GSM,Llama,0.8,0.15,0.31666666666666676,20,20/44 bank-valid,0.1874999999999999
GSM,o4-mini,0.8409090909090909,0.8409090909090909,-0.05303030303030298,44,full_bank,1.0
