problem_id,model,W1,W2,W3,W4,W5,W6,canonical,family,mean_variant,VAR,W3_kept,canonical_correct,W3_retention_individual,model_short
CC_01,anthropic/claude-sonnet-4,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,Claude
CC_01,google/gemini-2.5-flash,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,Gemini
CC_01,meta-llama/llama-3.1-8b-instruct,True,False,False,False,,False,True,ALGO,0.2,0.8,0.0,1.0,0.0,Llama
CC_01,openai/gpt-4o,True,True,False,True,,True,True,ALGO,0.8,0.19999999999999996,0.0,1.0,0.0,GPT-4o
CC_01,openai/o4-mini,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,o4-mini
CC_02,anthropic/claude-sonnet-4,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,Claude
CC_02,google/gemini-2.5-flash,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,Gemini
CC_02,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,False,True,ALGO,0.0,1.0,0.0,1.0,0.0,Llama
CC_02,openai/gpt-4o,True,True,False,True,,True,True,ALGO,0.8,0.19999999999999996,0.0,1.0,0.0,GPT-4o
CC_02,openai/o4-mini,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,o4-mini
CC_03,anthropic/claude-sonnet-4,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,Claude
CC_03,google/gemini-2.5-flash,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,Gemini
CC_03,meta-llama/llama-3.1-8b-instruct,False,True,False,True,,True,False,ALGO,0.6,0.4,0.0,0.0,,Llama
CC_03,openai/gpt-4o,True,True,False,True,,False,True,ALGO,0.6,0.4,0.0,1.0,0.0,GPT-4o
CC_03,openai/o4-mini,True,True,True,True,,,True,ALGO,1.0,0.0,1.0,1.0,1.0,o4-mini
CC_031,anthropic/claude-sonnet-4,False,False,False,True,,False,False,ALGO,0.2,0.8,0.0,0.0,,Claude
CC_031,google/gemini-2.5-flash,False,False,False,True,,False,True,ALGO,0.2,0.8,0.0,1.0,0.0,Gemini
CC_031,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Llama
CC_031,openai/gpt-4o,False,False,False,True,,False,True,ALGO,0.2,0.8,0.0,1.0,0.0,GPT-4o
CC_031,openai/o4-mini,True,False,False,True,,True,True,ALGO,0.6,0.4,0.0,1.0,0.0,o4-mini
CC_032,anthropic/claude-sonnet-4,True,False,True,True,,False,False,ALGO,0.6,0.4,1.0,0.0,,Claude
CC_032,google/gemini-2.5-flash,False,False,False,True,,False,False,ALGO,0.2,0.8,0.0,0.0,,Gemini
CC_032,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Llama
CC_032,openai/gpt-4o,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,GPT-4o
CC_032,openai/o4-mini,True,False,True,True,,True,True,ALGO,0.8,0.19999999999999996,1.0,1.0,1.0,o4-mini
CC_033,anthropic/claude-sonnet-4,False,False,False,True,,True,False,ALGO,0.4,0.6,0.0,0.0,,Claude
CC_033,google/gemini-2.5-flash,False,False,False,False,,True,False,ALGO,0.2,0.8,0.0,0.0,,Gemini
CC_033,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,True,False,ALGO,0.2,0.8,0.0,0.0,,Llama
CC_033,openai/gpt-4o,False,False,False,False,,True,False,ALGO,0.2,0.8,0.0,0.0,,GPT-4o
CC_033,openai/o4-mini,True,False,True,True,,True,True,ALGO,0.8,0.19999999999999996,1.0,1.0,1.0,o4-mini
CC_034,anthropic/claude-sonnet-4,True,True,False,True,,False,True,ALGO,0.6,0.4,0.0,1.0,0.0,Claude
CC_034,google/gemini-2.5-flash,True,False,False,False,,True,True,ALGO,0.4,0.6,0.0,1.0,0.0,Gemini
CC_034,meta-llama/llama-3.1-8b-instruct,True,False,False,False,,False,False,ALGO,0.2,0.8,0.0,0.0,,Llama
CC_034,openai/gpt-4o,True,False,False,True,,True,True,ALGO,0.6,0.4,0.0,1.0,0.0,GPT-4o
CC_034,openai/o4-mini,True,False,False,True,,True,True,ALGO,0.6,0.4,0.0,1.0,0.0,o4-mini
CC_035,anthropic/claude-sonnet-4,True,False,True,True,,False,True,ALGO,0.6,0.4,1.0,1.0,1.0,Claude
CC_035,google/gemini-2.5-flash,False,False,False,True,,False,False,ALGO,0.2,0.8,0.0,0.0,,Gemini
CC_035,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Llama
CC_035,openai/gpt-4o,True,False,True,True,,False,True,ALGO,0.6,0.4,1.0,1.0,1.0,GPT-4o
CC_035,openai/o4-mini,True,True,True,True,,True,True,ALGO,1.0,0.0,1.0,1.0,1.0,o4-mini
CC_036,anthropic/claude-sonnet-4,True,False,False,True,,False,True,ALGO,0.4,0.6,0.0,1.0,0.0,Claude
CC_036,google/gemini-2.5-flash,False,False,False,False,,True,False,ALGO,0.2,0.8,0.0,0.0,,Gemini
CC_036,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Llama
CC_036,openai/gpt-4o,False,False,False,True,,False,False,ALGO,0.2,0.8,0.0,0.0,,GPT-4o
CC_036,openai/o4-mini,True,False,False,True,,True,True,ALGO,0.6,0.4,0.0,1.0,0.0,o4-mini
CC_037,anthropic/claude-sonnet-4,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Claude
CC_037,google/gemini-2.5-flash,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Gemini
CC_037,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Llama
CC_037,openai/gpt-4o,False,False,False,True,,False,False,ALGO,0.2,0.8,0.0,0.0,,GPT-4o
CC_037,openai/o4-mini,True,True,False,True,,True,True,ALGO,0.8,0.19999999999999996,0.0,1.0,0.0,o4-mini
CC_038,anthropic/claude-sonnet-4,True,False,False,True,,False,False,ALGO,0.4,0.6,0.0,0.0,,Claude
CC_038,google/gemini-2.5-flash,False,False,False,False,,False,True,ALGO,0.0,1.0,0.0,1.0,0.0,Gemini
CC_038,meta-llama/llama-3.1-8b-instruct,False,True,False,False,,False,False,ALGO,0.2,0.8,0.0,0.0,,Llama
CC_038,openai/gpt-4o,True,False,False,True,,False,True,ALGO,0.4,0.6,0.0,1.0,0.0,GPT-4o
CC_038,openai/o4-mini,True,False,False,True,,True,True,ALGO,0.6,0.4,0.0,1.0,0.0,o4-mini
CC_039,anthropic/claude-sonnet-4,False,False,True,False,,False,False,ALGO,0.2,0.8,1.0,0.0,,Claude
CC_039,google/gemini-2.5-flash,True,False,False,False,,False,False,ALGO,0.2,0.8,0.0,0.0,,Gemini
CC_039,meta-llama/llama-3.1-8b-instruct,False,False,False,False,,False,False,ALGO,0.0,1.0,0.0,0.0,,Llama
CC_039,openai/gpt-4o,True,False,False,True,,False,False,ALGO,0.4,0.6,0.0,0.0,,GPT-4o
CC_039,openai/o4-mini,True,True,True,True,,True,True,ALGO,1.0,0.0,1.0,1.0,1.0,o4-mini
CC_04,anthropic/claude-sonnet-4,False,True,False,True,,,True,ALGO,0.5,0.5,0.0,1.0,0.0,Claude
