param,from_val,to_val,mean_pct_strong_from,mean_pct_strong_to,mean_delta_strong,n_configs_from,n_configs_to
w3_retrieval_max,0.2,0.3,0.4067122678233789,0.4067122678233789,0.0,648,648
w3_retrieval_max,0.3,0.5,0.4067122678233789,0.4067122678233789,0.0,648,648
w3_computation_min,0.5,0.7,0.40671226782337894,0.40671226782337894,0.0,972,972
contam_retrieval_min,0.5,0.6,0.41282949616282955,0.404029029029029,-0.00880046713380056,648,648
contam_retrieval_min,0.6,0.7,0.404029029029029,0.4032782782782783,-0.0007507507507507061,648,648
contam_computation_max,0.3,0.4,0.4040707374040707,0.4040707374040707,0.0,648,648
contam_computation_max,0.4,0.5,0.4040707374040707,0.41199532866199534,0.007924591257924662,648,648
cci_computation_min,0.4,0.5,0.4057112668223779,0.406837392948504,0.0011261261261261146,648,648
cci_computation_min,0.5,0.6,0.406837392948504,0.40758814369925483,0.0007507507507508171,648,648
cci_retrieval_max,0.25,0.3,0.4062395729062396,0.4069903236569902,0.0007507507507506506,648,648
cci_retrieval_max,0.3,0.4,0.4069903236569902,0.4069069069069069,-8.34167500833316e-05,648,648
min_votes,2.0,3.0,0.4715687910132355,0.34185574463352236,-0.12971304637971315,972,972
vote_margin,1.0,2.0,0.5047408519630742,0.30868368368368365,-0.19605716827939051,972,972
