problem_id,model,model_short,subtype,instance_type,step_index,critical_step_index,parsed_decision_normal,parsed_decision_injected,normalized_normal,normalized_injected,diverged,response_type_normal,response_type_injected,comparison_mode
CC_01,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,1,3,1,3,True,compliant,compliant,strict_compliant
CC_01,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,3,1,3,1,True,format_ignored,format_ignored,parseable_fallback
CC_01,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,1,0,7,3,7,3,True,format_ignored,format_ignored,parseable_fallback
CC_01,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,3,1,3,1,True,compliant,compliant,strict_compliant
CC_01,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,3,3,3,3,False,compliant,compliant,strict_compliant
CC_02,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,1,1,1,1,False,compliant,compliant,strict_compliant
CC_02,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,1,1,1,1,False,format_ignored,format_ignored,parseable_fallback
CC_02,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,1,0,5,5,5,5,False,format_ignored,format_ignored,parseable_fallback
CC_02,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,6,5,6,5,True,compliant,format_ignored,parseable_fallback
CC_02,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,5,5,5,5,False,compliant,compliant,strict_compliant
CC_03,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,1,1,1,1,False,compliant,compliant,strict_compliant
CC_03,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,1,1,1,1,False,format_ignored,format_ignored,parseable_fallback
CC_03,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,1,0,7,9,7,9,True,format_ignored,format_ignored,parseable_fallback
CC_03,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,7,6,7,6,True,compliant,format_ignored,parseable_fallback
CC_03,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,6,6,6,6,False,compliant,compliant,strict_compliant
CC_04,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,1,1,1,1,False,compliant,compliant,strict_compliant
CC_04,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,1,1,1,1,False,format_ignored,format_ignored,parseable_fallback
CC_04,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,1,0,17,10,17,10,True,format_ignored,format_ignored,parseable_fallback
CC_04,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,17,1,17,1,True,compliant,compliant,strict_compliant
CC_04,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,10,1,10,1,True,compliant,compliant,strict_compliant
CC_05,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,7,7,7,7,False,compliant,compliant,strict_compliant
CC_05,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,1,1,1,1,False,format_ignored,format_ignored,parseable_fallback
CC_05,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,1,0,11,7,11,7,True,format_ignored,format_ignored,parseable_fallback
CC_05,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,7,1,7,1,True,compliant,format_ignored,parseable_fallback
CC_05,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,7,7,7,7,False,compliant,compliant,strict_compliant
CC_06,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,8,8,8,8,False,compliant,compliant,strict_compliant
CC_06,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,2,0,1,1,1,1,False,compliant,compliant,strict_compliant
CC_06,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,1,8,1,8,True,format_ignored,format_ignored,parseable_fallback
CC_06,google/gemini-2.5-flash,Gemini,coin_change,adversarial,2,0,8,1,8,1,True,format_ignored,format_ignored,parseable_fallback
CC_06,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,2,0,7,15,7,15,True,format_ignored,format_ignored,parseable_fallback
CC_06,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,15,8,15,8,True,compliant,compliant,strict_compliant
CC_06,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,7,8,7,8,True,compliant,compliant,strict_compliant
CC_06,openai/o4-mini,o4-mini,coin_change,adversarial,2,0,7,1,7,1,True,compliant,compliant,strict_compliant
CC_07,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,1,1,1,1,False,compliant,compliant,strict_compliant
CC_07,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,1,1,1,1,False,format_ignored,format_ignored,parseable_fallback
CC_07,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,1,0,8,4,8,4,True,format_ignored,format_ignored,parseable_fallback
CC_07,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,9,1,9,1,True,compliant,compliant,strict_compliant
CC_07,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,4,4,4,4,False,compliant,compliant,strict_compliant
CC_08,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,1,0,1,1,1,1,False,compliant,compliant,strict_compliant
CC_08,google/gemini-2.5-flash,Gemini,coin_change,adversarial,1,0,,1,,1,True,format_ignored,format_ignored,parseable_fallback
CC_08,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,1,0,25,10,25,10,True,format_ignored,format_ignored,parseable_fallback
CC_08,openai/gpt-4o,GPT-4o,coin_change,adversarial,1,0,25,15,25,15,True,compliant,compliant,strict_compliant
CC_08,openai/o4-mini,o4-mini,coin_change,adversarial,1,0,15,15,15,15,False,compliant,compliant,strict_compliant
CC_09,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,3,2,11,17,11,17,True,compliant,compliant,strict_compliant
CC_09,google/gemini-2.5-flash,Gemini,coin_change,adversarial,3,2,11,7,11,7,True,format_ignored,format_ignored,parseable_fallback
CC_09,google/gemini-2.5-flash,Gemini,coin_change,adversarial,4,2,11,11,11,11,False,format_ignored,format_ignored,parseable_fallback
CC_09,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,3,2,31,31,31,31,False,format_ignored,compliant,parseable_fallback
CC_09,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,4,2,67,32,67,32,True,compliant,format_ignored,parseable_fallback
CC_09,openai/gpt-4o,GPT-4o,coin_change,adversarial,3,2,11,11,11,11,False,format_ignored,format_ignored,parseable_fallback
CC_09,openai/gpt-4o,GPT-4o,coin_change,adversarial,4,2,11,7,11,7,True,compliant,format_ignored,parseable_fallback
CC_09,openai/o4-mini,o4-mini,coin_change,adversarial,4,2,7,67,7,67,True,compliant,compliant,strict_compliant
CC_10,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,4,3,67,67,67,67,False,compliant,compliant,strict_compliant
CC_10,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,5,3,67,67,67,67,False,compliant,compliant,strict_compliant
CC_10,google/gemini-2.5-flash,Gemini,coin_change,adversarial,4,3,67,67,67,67,False,format_ignored,format_ignored,parseable_fallback
CC_10,google/gemini-2.5-flash,Gemini,coin_change,adversarial,5,3,67,67,67,67,False,format_ignored,format_ignored,parseable_fallback
CC_10,google/gemini-2.5-flash,Gemini,coin_change,adversarial,6,3,17,31,17,31,True,format_ignored,format_ignored,parseable_fallback
CC_10,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,4,3,31,31,31,31,False,format_ignored,format_ignored,parseable_fallback
CC_10,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,5,3,197,201,197,201,True,compliant,format_ignored,parseable_fallback
CC_10,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,6,3,17,197,17,197,True,format_ignored,compliant,parseable_fallback
CC_10,openai/gpt-4o,GPT-4o,coin_change,adversarial,4,3,197,67,197,67,True,compliant,compliant,strict_compliant
CC_10,openai/o4-mini,o4-mini,coin_change,adversarial,4,3,67,67,67,67,False,compliant,compliant,strict_compliant
CC_10,openai/o4-mini,o4-mini,coin_change,adversarial,5,3,67,11,67,11,True,compliant,compliant,strict_compliant
CC_10,openai/o4-mini,o4-mini,coin_change,adversarial,6,3,31,17,31,17,True,compliant,compliant,strict_compliant
SP_003,anthropic/claude-sonnet-4,Claude,shortest_path,adversarial,2,1,1,19,1,19,True,compliant,compliant,strict_compliant
SP_003,anthropic/claude-sonnet-4,Claude,shortest_path,adversarial,3,1,16,1,16,1,True,compliant,compliant,strict_compliant
