defect,family,problem_id,model,perturbed_variant,role,pert_before,pert_after,delta_perturbed,source,can_before,can_after,delta_canonical,pert_flipped,n_perturbed_variants,excess,can_flipped,either_flipped
ALGO_SP_W3_node_mapping,ALGO,SP_001,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_002,Claude,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv,False,False,0.0,False,1,0.0,False,False
ALGO_SP_W3_node_mapping,ALGO,SP_003,Claude,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv,False,False,0.0,False,1,0.0,False,False
ALGO_SP_W3_node_mapping,ALGO,SP_004,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_005,Claude,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv,False,False,0.0,False,1,0.0,False,False
ALGO_SP_W3_node_mapping,ALGO,SP_019,Claude,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,False,1,0.0,False,False
ALGO_SP_W3_node_mapping,ALGO,SP_020,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_021,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_023,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_024,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_026,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_027,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_028,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_029,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_030,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_031,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_032,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_033,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_034,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_035,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_036,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_037,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_038,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_039,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_040,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_042,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_044,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_045,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_046,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_047,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_048,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,True,True,0.0,True,1,1.0,False,True
ALGO_SP_W3_node_mapping,ALGO,SP_049,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_050,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_051,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_052,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_053,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_054,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_055,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_056,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_057,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_058,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_059,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
ALGO_SP_W3_node_mapping,ALGO,SP_060,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv,False,True,1.0,True,1,0.0,True,True
