problem_id,model,correct_canonical_variant,parse_failed_canonical,correct_W3,parse_failed_W3,correct_canonical,gave_greedy_answer,any_parse_failed,VAR_canonical,VAR_W3,VRI_gap,problem_subtype,instance_type,greedy_succeeds_expected,critical_step_index,instance_contamination_score,template_contamination_score,difficulty_numeric,CCI,TEP,greedy_assessment_correct,critical_point_identified,cci_alg,cci_crit,match_first,cci_composite,greedy_assessment_correct_bool,critical_point_identified_num,gave_greedy_answer_bool,greedy_succeeds_expected_bool,greedy_succeeds,instance_rank_pct,instance_contamination_half,ACI,missing_core,missing_phase2,parse_failure_or_missing,convergence_label,label_appendix,label_legacy_five_field
CC_01,anthropic/claude-sonnet-4,True,False,True,False,True,True,False,1.0,1.0,0.0,coin_change,adversarial,False,0,0.0,1.0,4,0.2666666666666666,0.2,True,False,0.0,0.0,0.0,0.0,True,0.0,True,False,0.0,0.345,bottom,0.0,False,False,False,mixed,mixed,mixed
CC_02,anthropic/claude-sonnet-4,True,False,True,False,True,True,False,1.0,1.0,0.0,coin_change,adversarial,False,0,0.0,1.0,4,0.2666666666666666,0.2,True,False,1.0,0.0,0.0,0.3333333333333333,True,0.0,True,False,0.0,0.345,bottom,0.3333333333333333,False,False,False,mixed,ambiguous,mixed
CC_03,anthropic/claude-sonnet-4,True,False,True,False,True,True,False,1.0,1.0,0.0,coin_change,adversarial,False,0,0.0,1.0,5,0.2666666666666666,0.2,True,False,1.0,0.0,0.0,0.3333333333333333,True,0.0,True,False,0.0,0.345,bottom,0.3333333333333333,False,False,False,mixed,ambiguous,mixed
CC_04,anthropic/claude-sonnet-4,True,False,False,False,True,False,False,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,6,0.2666666666666666,0.2,True,False,0.0,0.0,0.0,0.0,True,0.0,False,False,1.0,0.345,bottom,0.0,False,False,False,mixed,mixed,mixed
CC_05,anthropic/claude-sonnet-4,True,False,True,False,True,True,False,1.0,1.0,0.0,coin_change,adversarial,False,0,0.0,1.0,5,0.2666666666666666,0.2,True,False,0.0,1.0,1.0,0.6666666666666666,True,0.0,True,False,0.0,0.345,bottom,0.6666666666666666,False,False,False,computation_signal,ambiguous,computation
CC_06,anthropic/claude-sonnet-4,False,False,False,False,False,False,False,0.0,0.0,0.0,coin_change,adversarial,False,0,0.0,1.0,5,0.2666666666666666,0.2,True,False,0.0,0.0,0.0,0.0,True,0.0,False,False,1.0,0.345,bottom,0.0,False,False,False,mixed,mixed,mixed
CC_07,anthropic/claude-sonnet-4,True,False,True,False,True,False,False,1.0,1.0,0.0,coin_change,adversarial,False,0,0.0,1.0,5,0.2666666666666666,0.2,,False,1.0,0.0,0.0,0.3333333333333333,,0.0,False,False,1.0,0.345,bottom,0.3333333333333333,False,False,False,mixed,ambiguous,mixed
CC_08,anthropic/claude-sonnet-4,True,False,False,False,True,True,False,1.0,0.0,1.0,coin_change,adversarial,False,0,0.0,1.0,5,0.2666666666666666,0.2,True,False,0.0,0.0,0.0,0.0,True,0.0,True,False,0.0,0.345,bottom,0.0,False,False,False,mixed,mixed,mixed
CC_09,anthropic/claude-sonnet-4,False,False,False,False,False,False,False,0.0,0.0,0.0,coin_change,adversarial,False,2,0.0,1.0,6,0.2666666666666666,0.2,True,False,0.0,1.0,1.0,0.6666666666666666,True,0.0,False,False,1.0,0.345,bottom,0.6666666666666666,False,False,False,mixed,mixed,mixed
CC_10,anthropic/claude-sonnet-4,False,False,True,False,False,False,False,0.0,1.0,-1.0,coin_change,adversarial,False,3,0.0,1.0,7,0.2666666666666666,0.2,True,False,0.0,0.0,1.0,0.3333333333333333,True,0.0,False,False,1.0,0.345,bottom,0.3333333333333333,False,False,False,mixed,ambiguous,mixed
SP_001,anthropic/claude-sonnet-4,False,False,False,False,False,,False,0.0,0.0,0.0,shortest_path,adversarial,True,-1,0.0,1.0,23,0.3823529411764705,0.1470588235294117,False,False,,,,,False,0.0,,True,0.0,0.3113636363636363,bottom,,False,True,False,ambiguous,mixed,ambiguous
SP_002,anthropic/claude-sonnet-4,False,False,True,False,False,,False,0.0,1.0,-1.0,shortest_path,adversarial,True,-1,0.0,1.0,50,0.3823529411764705,0.1470588235294117,False,False,,,,,False,0.0,,True,0.0,0.3113636363636363,bottom,,False,True,False,ambiguous,ambiguous,ambiguous
SP_003,anthropic/claude-sonnet-4,False,False,False,False,False,False,False,0.0,0.0,0.0,shortest_path,standard,False,1,0.0,1.0,81,0.3823529411764705,0.1470588235294117,True,False,0.0,0.0,0.0,0.0,True,0.0,False,False,1.0,0.3113636363636363,bottom,0.0,False,False,False,mixed,mixed,mixed
SP_004,anthropic/claude-sonnet-4,True,False,False,False,True,False,False,1.0,0.0,1.0,shortest_path,standard,False,0,0.0,1.0,13,0.3823529411764705,0.1470588235294117,True,False,1.0,0.0,0.0,0.3333333333333333,True,0.0,False,False,1.0,0.3113636363636363,bottom,0.3333333333333333,False,False,False,mixed,mixed,mixed
SP_005,anthropic/claude-sonnet-4,False,False,False,False,False,False,False,0.0,0.0,0.0,shortest_path,standard,False,1,0.0,1.0,31,0.3823529411764705,0.1470588235294117,True,True,1.0,0.0,0.0,0.3333333333333333,True,1.0,False,False,1.0,0.3113636363636363,bottom,0.3333333333333333,False,False,False,mixed,mixed,mixed
WIS_001,anthropic/claude-sonnet-4,True,False,False,True,True,,True,1.0,0.0,1.0,wis,adversarial,True,-1,0.0,0.0,10,0.3333333333333333,0.1538461538461538,False,False,,,,,False,0.0,,True,0.0,0.4708333333333333,bottom,,False,True,True,ambiguous,mixed,ambiguous
WIS_002,anthropic/claude-sonnet-4,False,False,False,False,False,,False,0.0,0.0,0.0,wis,adversarial,True,-1,0.0,0.0,12,0.3333333333333333,0.1538461538461538,False,False,,,,,False,0.0,,True,0.0,0.4708333333333333,bottom,,False,True,False,ambiguous,mixed,ambiguous
