family,model_type,item,difficulty,discrimination
GSM,1PL,canonical,-1.3117910810078464,1.8980848267425587
GSM,2PL,canonical,-1.0278326923845071,4.999994341204527
GSM,1PL,W1,-1.564842832078912,1.8980848267425587
GSM,2PL,W1,-1.2586503146320318,4.031638904318164
GSM,1PL,W2,-1.033985883319142,1.8980848267425587
GSM,2PL,W2,-0.8369536370662688,4.002762857323291
GSM,1PL,W3,-0.795522698238222,1.8980848267425587
GSM,2PL,W3,-0.9007234395766348,1.46955302057844
GSM,1PL,W4,-0.14084165009652658,1.8980848267425587
GSM,2PL,W4,-0.1730332181320555,1.2696255115335837
GSM,1PL,W5,-1.4745980000644325,1.8980848267425587
GSM,2PL,W5,-5.87006069069018,0.31693777107970805
GSM,1PL,W6,-1.3905985276629889,1.8980848267425587
GSM,2PL,W6,-1.2275807623625228,2.674180788121802
