family,outcome,design,variants_included,component,variance,ci_low,ci_high,proportion,n_items,n_variants,n_models,n_obs,n_boot,estimator,model_formula,note,logistic_note,is_primary
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,item,0.005131,0.000497,0.010444,0.0182,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,variant,0.035626,0.025463,0.047751,0.1264,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,model,0.092179,0.076061,0.108813,0.3271,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,item_model,0.004975,0.0,0.015031,0.0177,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,variant_model,0.045752,0.039939,0.059023,0.1623,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,item_variant,0.00953,0.0,0.019515,0.0338,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,max_cells,W1|W2|W3|W4|W5|W6|canonical,residual,0.088621,0.07024,0.100961,0.3145,29,7,3,609,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,True
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item,0.003619,0.0,0.014437,0.0137,14,7,4,392,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,variant,0.05621,0.045095,0.067771,0.2124,14,7,4,392,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,model,0.06262,0.050747,0.074487,0.2366,14,7,4,392,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
ALGO,binary_accuracy,full_7_variants,W1|W2|W3|W4|W5|W6|canonical,item_model,0.005407,0.0,0.012163,0.0204,14,7,4,392,500,balanced_anova_moments_item_bootstrap,y ~ (1|item)+(1|variant)+(1|model)+(1|item:model)+(1|variant:model)+(1|item:variant),Gaussian/LPM on binary for G-theory; residual absorbs item:variant:model,logistic_full_crossed_deferred; primary_estimator=anova_moments_on_binary_LPM; crossed logistic MixedLM often unidentified with n=1 per cell,False
