problem_id,variant_type,model,model_answer,ground_truth,verified,parse_status,correct_alternative,human_review_flag,correct_canonical,greedy_answer,gave_greedy_answer,difficulty_params_instance_type,variant_type_normalized,included,exclusion_reason,old_verified,rescored_correct,verify_method,rescore_reason,verdict_changed
CC_01,canonical,google/gemini-2.5-flash,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,True,"Count: 2
 Coins: [3, 3]",True,adversarial,canonical,True,in_bank_ok,True,True,algo_strict,correct,False
CC_01,W1,google/gemini-2.5-flash,"Count: 2 Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [3, 3]",True,adversarial,W1,True,in_bank_ok,True,True,algo_strict,correct,False
CC_01,W2,google/gemini-2.5-flash,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [3, 3]",True,adversarial,W2,True,in_bank_ok,True,True,algo_strict,correct,False
CC_01,W3,google/gemini-2.5-flash,"Total: 2 Scoops: [3, 3]","Total: 2
 Scoops: [3, 3]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [3, 3]",False,adversarial,W3,True,in_bank_ok,True,True,algo_strict,correct,False
CC_01,W4,google/gemini-2.5-flash,"Count: 2
Coins: [3, 3]","Count: 2
 Coins: [3, 3]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [3, 3]",True,adversarial,W4,True,in_bank_ok,True,True,algo_strict,correct,False
CC_02,canonical,google/gemini-2.5-flash,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,True,"Count: 2
 Coins: [5, 6]",True,adversarial,canonical,True,in_bank_ok,True,True,algo_strict,correct,False
CC_02,W1,google/gemini-2.5-flash,"Count: 2 Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [5, 6]",True,adversarial,W1,True,in_bank_ok,True,True,algo_strict,correct,False
CC_02,W2,google/gemini-2.5-flash,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [5, 6]",True,adversarial,W2,True,in_bank_ok,True,True,algo_strict,correct,False
CC_02,W3,google/gemini-2.5-flash,"Total: 2 Scoops: [5, 6]","Total: 2
 Scoops: [5, 6]",True,parsed_clean,False,False,False,"Count: 2
 Coins: [5, 6]",False,adversarial,W3,True,in_bank_ok,True,True,algo_strict,correct,False
CC_02,W4,google/gemini-2.5-flash,"Count: 2
Coins: [5, 6]","Count: 2
 Coins: [5, 6]",True,parsed_with_normalization,False,False,False,"Count: 2
 Coins: [5, 6]",True,adversarial,W4,True,in_bank_ok,True,True,algo_strict,correct,False
CC_03,canonical,google/gemini-2.5-flash,"Count: 2
Coins: [6, 7]","Count: 2
 Coins: [6, 7]",True,parsed_with_normalization,False,False,True,"Count: 2
 Coins: [6, 7]",True,adversarial,canonical,True,in_bank_ok,True,True,algo_strict,correct,False
