cci_threshold,w3_cutoff,contam_percentile,n_retrieval,n_computation,n_mixed,n_ambiguous,n,n_confident,confident_label_rate
0.05,0.0,50,0,6,163,0,169,6,0.03550295857988166
0.05,0.0,75,0,15,154,0,169,15,0.08875739644970414
0.05,0.0,90,0,15,154,0,169,15,0.08875739644970414
0.05,0.25,50,19,6,144,0,169,25,0.14792899408284024
0.05,0.25,75,8,15,146,0,169,23,0.13609467455621302
0.05,0.25,90,8,15,146,0,169,23,0.13609467455621302
0.05,0.5,50,19,6,144,0,169,25,0.14792899408284024
0.05,0.5,75,8,15,146,0,169,23,0.13609467455621302
0.05,0.5,90,8,15,146,0,169,23,0.13609467455621302
0.05,0.75,50,19,6,144,0,169,25,0.14792899408284024
0.05,0.75,75,8,15,146,0,169,23,0.13609467455621302
0.05,0.75,90,8,15,146,0,169,23,0.13609467455621302
0.05,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.05,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.05,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.1,0.0,50,0,6,163,0,169,6,0.03550295857988166
0.1,0.0,75,0,15,154,0,169,15,0.08875739644970414
0.1,0.0,90,0,15,154,0,169,15,0.08875739644970414
0.1,0.25,50,19,6,144,0,169,25,0.14792899408284024
0.1,0.25,75,8,15,146,0,169,23,0.13609467455621302
0.1,0.25,90,8,15,146,0,169,23,0.13609467455621302
0.1,0.5,50,19,6,144,0,169,25,0.14792899408284024
0.1,0.5,75,8,15,146,0,169,23,0.13609467455621302
0.1,0.5,90,8,15,146,0,169,23,0.13609467455621302
0.1,0.75,50,19,6,144,0,169,25,0.14792899408284024
0.1,0.75,75,8,15,146,0,169,23,0.13609467455621302
0.1,0.75,90,8,15,146,0,169,23,0.13609467455621302
0.1,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.1,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.1,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.15,0.0,50,0,6,163,0,169,6,0.03550295857988166
0.15,0.0,75,0,15,154,0,169,15,0.08875739644970414
0.15,0.0,90,0,15,154,0,169,15,0.08875739644970414
0.15,0.25,50,19,6,144,0,169,25,0.14792899408284024
0.15,0.25,75,8,15,146,0,169,23,0.13609467455621302
0.15,0.25,90,8,15,146,0,169,23,0.13609467455621302
0.15,0.5,50,19,6,144,0,169,25,0.14792899408284024
0.15,0.5,75,8,15,146,0,169,23,0.13609467455621302
0.15,0.5,90,8,15,146,0,169,23,0.13609467455621302
0.15,0.75,50,19,6,144,0,169,25,0.14792899408284024
0.15,0.75,75,8,15,146,0,169,23,0.13609467455621302
0.15,0.75,90,8,15,146,0,169,23,0.13609467455621302
0.15,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.15,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.15,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.2,0.0,50,0,6,163,0,169,6,0.03550295857988166
0.2,0.0,75,0,15,154,0,169,15,0.08875739644970414
0.2,0.0,90,0,15,154,0,169,15,0.08875739644970414
0.2,0.25,50,19,6,144,0,169,25,0.14792899408284024
0.2,0.25,75,8,15,146,0,169,23,0.13609467455621302
0.2,0.25,90,8,15,146,0,169,23,0.13609467455621302
0.2,0.5,50,19,6,144,0,169,25,0.14792899408284024
0.2,0.5,75,8,15,146,0,169,23,0.13609467455621302
0.2,0.5,90,8,15,146,0,169,23,0.13609467455621302
0.2,0.75,50,19,6,144,0,169,25,0.14792899408284024
0.2,0.75,75,8,15,146,0,169,23,0.13609467455621302
0.2,0.75,90,8,15,146,0,169,23,0.13609467455621302
0.2,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.2,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.2,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.25,0.0,50,0,6,163,0,169,6,0.03550295857988166
0.25,0.0,75,0,15,154,0,169,15,0.08875739644970414
0.25,0.0,90,0,15,154,0,169,15,0.08875739644970414
0.25,0.25,50,19,6,144,0,169,25,0.14792899408284024
0.25,0.25,75,8,15,146,0,169,23,0.13609467455621302
0.25,0.25,90,8,15,146,0,169,23,0.13609467455621302
0.25,0.5,50,19,6,144,0,169,25,0.14792899408284024
0.25,0.5,75,8,15,146,0,169,23,0.13609467455621302
0.25,0.5,90,8,15,146,0,169,23,0.13609467455621302
0.25,0.75,50,19,6,144,0,169,25,0.14792899408284024
0.25,0.75,75,8,15,146,0,169,23,0.13609467455621302
0.25,0.75,90,8,15,146,0,169,23,0.13609467455621302
0.25,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.25,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.25,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.3,0.0,50,0,6,163,0,169,6,0.03550295857988166
0.3,0.0,75,0,15,154,0,169,15,0.08875739644970414
0.3,0.0,90,0,15,154,0,169,15,0.08875739644970414
0.3,0.25,50,19,6,144,0,169,25,0.14792899408284024
0.3,0.25,75,8,15,146,0,169,23,0.13609467455621302
0.3,0.25,90,8,15,146,0,169,23,0.13609467455621302
0.3,0.5,50,19,6,144,0,169,25,0.14792899408284024
0.3,0.5,75,8,15,146,0,169,23,0.13609467455621302
0.3,0.5,90,8,15,146,0,169,23,0.13609467455621302
0.3,0.75,50,19,6,144,0,169,25,0.14792899408284024
0.3,0.75,75,8,15,146,0,169,23,0.13609467455621302
0.3,0.75,90,8,15,146,0,169,23,0.13609467455621302
0.3,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.3,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.3,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.35,0.0,50,0,3,166,0,169,3,0.01775147928994083
0.35,0.0,75,0,4,165,0,169,4,0.023668639053254437
0.35,0.0,90,0,4,165,0,169,4,0.023668639053254437
0.35,0.25,50,19,3,147,0,169,22,0.1301775147928994
0.35,0.25,75,8,4,157,0,169,12,0.07100591715976332
0.35,0.25,90,8,4,157,0,169,12,0.07100591715976332
0.35,0.5,50,19,3,147,0,169,22,0.1301775147928994
0.35,0.5,75,8,4,157,0,169,12,0.07100591715976332
0.35,0.5,90,8,4,157,0,169,12,0.07100591715976332
0.35,0.75,50,19,3,147,0,169,22,0.1301775147928994
0.35,0.75,75,8,4,157,0,169,12,0.07100591715976332
0.35,0.75,90,8,4,157,0,169,12,0.07100591715976332
0.35,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.35,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.35,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.4,0.0,50,0,3,166,0,169,3,0.01775147928994083
0.4,0.0,75,0,4,165,0,169,4,0.023668639053254437
0.4,0.0,90,0,4,165,0,169,4,0.023668639053254437
0.4,0.25,50,19,3,147,0,169,22,0.1301775147928994
0.4,0.25,75,8,4,157,0,169,12,0.07100591715976332
0.4,0.25,90,8,4,157,0,169,12,0.07100591715976332
0.4,0.5,50,19,3,147,0,169,22,0.1301775147928994
0.4,0.5,75,8,4,157,0,169,12,0.07100591715976332
0.4,0.5,90,8,4,157,0,169,12,0.07100591715976332
0.4,0.75,50,19,3,147,0,169,22,0.1301775147928994
0.4,0.75,75,8,4,157,0,169,12,0.07100591715976332
0.4,0.75,90,8,4,157,0,169,12,0.07100591715976332
0.4,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.4,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.4,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.45,0.0,50,0,3,166,0,169,3,0.01775147928994083
0.45,0.0,75,0,4,165,0,169,4,0.023668639053254437
0.45,0.0,90,0,4,165,0,169,4,0.023668639053254437
0.45,0.25,50,19,3,147,0,169,22,0.1301775147928994
0.45,0.25,75,8,4,157,0,169,12,0.07100591715976332
0.45,0.25,90,8,4,157,0,169,12,0.07100591715976332
0.45,0.5,50,19,3,147,0,169,22,0.1301775147928994
0.45,0.5,75,8,4,157,0,169,12,0.07100591715976332
0.45,0.5,90,8,4,157,0,169,12,0.07100591715976332
0.45,0.75,50,19,3,147,0,169,22,0.1301775147928994
0.45,0.75,75,8,4,157,0,169,12,0.07100591715976332
0.45,0.75,90,8,4,157,0,169,12,0.07100591715976332
0.45,1.0,50,19,0,150,0,169,19,0.11242603550295859
0.45,1.0,75,8,0,161,0,169,8,0.047337278106508875
0.45,1.0,90,8,0,161,0,169,8,0.047337278106508875
0.5,0.0,50,0,3,166,0,169,3,0.01775147928994083
0.5,0.0,75,0,4,165,0,169,4,0.023668639053254437
0.5,0.0,90,0,4,165,0,169,4,0.023668639053254437
0.5,0.25,50,19,3,147,0,169,22,0.1301775147928994
0.5,0.25,75,8,4,157,0,169,12,0.07100591715976332
0.5,0.25,90,8,4,157,0,169,12,0.07100591715976332
0.5,0.5,50,19,3,147,0,169,22,0.1301775147928994
0.5,0.5,75,8,4,157,0,169,12,0.07100591715976332
0.5,0.5,90,8,4,157,0,169,12,0.07100591715976332
