problem_id,model,in_paper_4model,problem_subtype,instance_type,VAR_canonical,VAR_W3,instance_contamination_score,ACI,greedy_succeeds,missing_core,missing_phase2,parse_failure_or_missing,instance_rank_pct,label,three_signals,complete_case,label_default
CC_01,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.0,False,False,False,False,0.345,mixed,True,True,mixed
CC_02,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,False,False,False,False,0.345,mixed,True,True,mixed
CC_03,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,False,False,False,False,0.345,mixed,True,True,mixed
CC_031,Claude,True,coin_change,standard,0.0,0.0,0.0,,False,False,True,True,0.345,ambiguous,False,False,ambiguous
CC_032,Claude,True,coin_change,standard,0.0,1.0,0.0,,False,False,True,False,0.345,ambiguous,False,False,ambiguous
CC_033,Claude,True,coin_change,standard,0.0,0.0,0.6875,,False,False,True,False,0.985,ambiguous,False,False,ambiguous
CC_034,Claude,True,coin_change,standard,1.0,0.0,0.0,,False,False,True,True,0.345,ambiguous,False,False,ambiguous
CC_035,Claude,True,coin_change,standard,1.0,1.0,0.6364,,False,False,True,False,0.905,ambiguous,False,False,ambiguous
CC_036,Claude,True,coin_change,standard,1.0,0.0,0.6667,,False,False,True,True,0.945,ambiguous,False,False,ambiguous
CC_037,Claude,True,coin_change,standard,0.0,0.0,0.5714,,False,False,True,True,0.865,ambiguous,False,False,ambiguous
CC_038,Claude,True,coin_change,standard,0.0,0.0,0.5556,,False,False,True,False,0.825,ambiguous,False,False,ambiguous
CC_039,Claude,True,coin_change,standard,0.0,1.0,0.0,,False,False,True,False,0.345,ambiguous,False,False,ambiguous
CC_04,Claude,True,coin_change,adversarial,1.0,0.0,0.0,0.0,True,False,False,False,0.345,mixed,True,True,mixed
CC_040,Claude,True,coin_change,standard,0.0,0.0,0.0,,False,False,True,False,0.345,ambiguous,False,False,ambiguous
CC_041,Claude,True,coin_change,standard,1.0,0.0,0.0,,False,False,True,False,0.345,ambiguous,False,False,ambiguous
CC_042,Claude,True,coin_change,standard,0.0,0.0,0.5385,,False,False,True,False,0.785,ambiguous,False,False,ambiguous
CC_043,Claude,True,coin_change,standard,0.0,0.0,0.0,,False,False,True,True,0.345,ambiguous,False,False,ambiguous
CC_044,Claude,True,coin_change,standard,0.0,0.0,0.5,,False,False,True,False,0.745,ambiguous,False,False,ambiguous
CC_045,Claude,True,coin_change,standard,0.0,0.0,0.4545,,False,False,True,False,0.705,ambiguous,False,False,ambiguous
CC_05,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.6666666666666666,False,False,False,False,0.345,computation,True,True,computation
CC_06,Claude,True,coin_change,adversarial,0.0,0.0,0.0,0.0,True,False,False,False,0.345,mixed,True,True,mixed
CC_07,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,True,False,False,False,0.345,mixed,True,True,mixed
CC_08,Claude,True,coin_change,adversarial,1.0,0.0,0.0,0.0,False,False,False,False,0.345,mixed,True,True,mixed
CC_09,Claude,True,coin_change,adversarial,0.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.345,mixed,True,True,mixed
CC_10,Claude,True,coin_change,adversarial,0.0,1.0,0.0,0.3333333333333333,True,False,False,False,0.345,mixed,True,True,mixed
SP_001,Claude,True,shortest_path,standard,0.0,0.0,0.0,,False,False,True,False,0.3113636363636363,ambiguous,False,False,ambiguous
SP_002,Claude,True,shortest_path,standard,0.0,1.0,0.0,,False,False,True,False,0.3113636363636363,ambiguous,False,False,ambiguous
SP_003,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.0,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_004,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_005,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_019,Claude,True,shortest_path,adversarial,1.0,0.0,0.5,0.3333333333333333,True,False,False,False,0.7386363636363636,retrieval,True,True,retrieval
SP_020,Claude,True,shortest_path,adversarial,1.0,0.0,0.5,0.3333333333333333,True,False,False,False,0.7386363636363636,retrieval,True,True,retrieval
SP_021,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_023,Claude,True,shortest_path,adversarial,0.0,0.0,0.5,0.3333333333333333,True,False,False,False,0.7386363636363636,mixed,True,True,mixed
SP_024,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_026,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.0,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_027,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_028,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_029,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_030,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_031,Claude,True,shortest_path,standard,0.0,0.0,0.0,,False,False,True,False,0.3113636363636363,ambiguous,False,False,ambiguous
SP_032,Claude,True,shortest_path,standard,0.0,0.0,0.5833,,False,False,True,False,0.9931818181818182,ambiguous,False,False,ambiguous
SP_033,Claude,True,shortest_path,standard,0.0,0.0,0.5714,,False,False,True,False,0.9204545454545454,ambiguous,False,False,ambiguous
SP_034,Claude,True,shortest_path,standard,0.0,0.0,0.0,,False,False,True,False,0.3113636363636363,ambiguous,False,False,ambiguous
SP_035,Claude,True,shortest_path,standard,0.0,0.0,0.0,,False,False,True,False,0.3113636363636363,ambiguous,False,False,ambiguous
SP_036,Claude,True,shortest_path,standard,0.0,0.0,0.5714,,False,False,True,False,0.9204545454545454,ambiguous,False,False,ambiguous
SP_037,Claude,True,shortest_path,adversarial,1.0,0.0,0.5,0.0,True,False,False,False,0.7386363636363636,retrieval,True,True,retrieval
SP_038,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.0,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_039,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_040,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.0,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_042,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_044,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_045,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_046,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
SP_047,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,True,True,mixed
