problem_id,model,in_paper_4model,problem_subtype,instance_type,VAR_canonical,VAR_W3,instance_contamination_score,ACI,greedy_succeeds,missing_core,missing_phase2,parse_failure_or_missing
CC_01,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.0,False,False,False,False
CC_02,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,False,False,False,False
CC_03,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,False,False,False,False
CC_031,Claude,True,coin_change,standard,0.0,0.0,0.0,,False,False,True,True
CC_032,Claude,True,coin_change,standard,0.0,1.0,0.0,,False,False,True,False
CC_033,Claude,True,coin_change,standard,0.0,0.0,0.6875,,False,False,True,False
CC_034,Claude,True,coin_change,standard,1.0,0.0,0.0,,False,False,True,True
CC_035,Claude,True,coin_change,standard,1.0,1.0,0.6364,,False,False,True,False
CC_036,Claude,True,coin_change,standard,1.0,0.0,0.6667,,False,False,True,True
CC_037,Claude,True,coin_change,standard,0.0,0.0,0.5714,,False,False,True,True
CC_038,Claude,True,coin_change,standard,0.0,0.0,0.5556,,False,False,True,False
CC_039,Claude,True,coin_change,standard,0.0,1.0,0.0,,False,False,True,False
CC_04,Claude,True,coin_change,adversarial,1.0,0.0,0.0,0.0,True,False,False,False
CC_040,Claude,True,coin_change,standard,0.0,0.0,0.0,,False,False,True,False
CC_041,Claude,True,coin_change,standard,1.0,0.0,0.0,,False,False,True,False
CC_042,Claude,True,coin_change,standard,0.0,0.0,0.5385,,False,False,True,False
CC_043,Claude,True,coin_change,standard,0.0,0.0,0.0,,False,False,True,True
CC_044,Claude,True,coin_change,standard,0.0,0.0,0.5,,False,False,True,False
CC_045,Claude,True,coin_change,standard,0.0,0.0,0.4545,,False,False,True,False
CC_05,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.6666666666666666,False,False,False,False
CC_06,Claude,True,coin_change,adversarial,0.0,0.0,0.0,0.0,True,False,False,False
CC_07,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,True,False,False,False
CC_08,Claude,True,coin_change,adversarial,1.0,0.0,0.0,0.0,False,False,False,False
CC_09,Claude,True,coin_change,adversarial,0.0,0.0,0.0,0.6666666666666666,True,False,False,False
CC_10,Claude,True,coin_change,adversarial,0.0,1.0,0.0,0.3333333333333333,True,False,False,False
SP_001,Claude,True,shortest_path,standard,0.0,0.0,0.0,,False,False,True,False
SP_002,Claude,True,shortest_path,standard,0.0,1.0,0.0,,False,False,True,False
SP_003,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.0,True,False,False,False
SP_004,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False
