problem_id,model,model_short,cci_alg,cci_crit,match_first,cci_composite
CC_01,anthropic/claude-sonnet-4,Claude,0.0,0.0,0.0,0.0
CC_01,google/gemini-2.5-flash,Gemini,0.0,0.0,0.0,0.0
CC_01,meta-llama/llama-3.1-8b-instruct,Llama,0.0,0.0,0.0,0.0
CC_01,openai/gpt-4o,GPT-4o,1.0,1.0,0.0,0.6666666666666666
CC_02,anthropic/claude-sonnet-4,Claude,1.0,0.0,0.0,0.3333333333333333
CC_02,google/gemini-2.5-flash,Gemini,1.0,0.0,0.0,0.3333333333333333
CC_02,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1.0,0.0,0.3333333333333333
CC_02,openai/gpt-4o,GPT-4o,1.0,0.0,0.0,0.3333333333333333
CC_03,anthropic/claude-sonnet-4,Claude,1.0,0.0,0.0,0.3333333333333333
CC_03,google/gemini-2.5-flash,Gemini,0.0,0.0,0.0,0.0
CC_03,meta-llama/llama-3.1-8b-instruct,Llama,0.0,0.0,0.0,0.0
CC_03,openai/gpt-4o,GPT-4o,1.0,0.0,0.0,0.3333333333333333
CC_04,anthropic/claude-sonnet-4,Claude,0.0,0.0,0.0,0.0
CC_04,google/gemini-2.5-flash,Gemini,1.0,0.0,0.0,0.3333333333333333
CC_04,meta-llama/llama-3.1-8b-instruct,Llama,1.0,1.0,0.0,0.6666666666666666
CC_04,openai/gpt-4o,GPT-4o,1.0,1.0,0.0,0.6666666666666666
CC_05,anthropic/claude-sonnet-4,Claude,0.0,1.0,1.0,0.6666666666666666
CC_05,google/gemini-2.5-flash,Gemini,0.0,0.0,0.0,0.0
CC_05,meta-llama/llama-3.1-8b-instruct,Llama,0.0,0.0,0.0,0.0
CC_05,openai/gpt-4o,GPT-4o,0.0,1.0,0.0,0.3333333333333333
CC_06,anthropic/claude-sonnet-4,Claude,0.0,0.0,0.0,0.0
CC_06,google/gemini-2.5-flash,Gemini,0.0,0.0,1.0,0.3333333333333333
CC_06,meta-llama/llama-3.1-8b-instruct,Llama,0.0,0.0,0.0,0.0
CC_06,openai/gpt-4o,GPT-4o,0.0,0.0,1.0,0.3333333333333333
CC_07,anthropic/claude-sonnet-4,Claude,1.0,0.0,0.0,0.3333333333333333
CC_07,google/gemini-2.5-flash,Gemini,1.0,0.0,0.0,0.3333333333333333
CC_07,meta-llama/llama-3.1-8b-instruct,Llama,0.0,1.0,0.0,0.3333333333333333
CC_07,openai/gpt-4o,GPT-4o,0.0,0.0,0.0,0.0
CC_08,anthropic/claude-sonnet-4,Claude,0.0,0.0,0.0,0.0
CC_08,google/gemini-2.5-flash,Gemini,0.0,0.0,0.0,0.0
CC_08,meta-llama/llama-3.1-8b-instruct,Llama,0.0,0.0,1.0,0.3333333333333333
CC_08,openai/gpt-4o,GPT-4o,0.0,0.0,1.0,0.3333333333333333
CC_09,anthropic/claude-sonnet-4,Claude,0.0,1.0,1.0,0.6666666666666666
CC_09,google/gemini-2.5-flash,Gemini,0.0,0.0,0.0,0.0
CC_09,meta-llama/llama-3.1-8b-instruct,Llama,0.0,0.0,1.0,0.3333333333333333
CC_09,openai/gpt-4o,GPT-4o,0.0,1.0,1.0,0.6666666666666666
