family,model,problem_id,canonical,W1,W2,W3,W4,VRI,subtype
GSM,Claude,GSM_001,True,True,True,True,True,0.0,
GSM,Claude,GSM_002,True,True,True,True,True,0.0,
GSM,Claude,GSM_003,True,True,True,False,False,0.6666666666666666,
GSM,Claude,GSM_004,True,True,True,True,True,0.0,
GSM,Claude,GSM_005,True,True,False,False,True,0.6666666666666666,
GSM,Claude,GSM_006,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_007,True,True,True,True,True,0.0,
GSM,Claude,GSM_008,True,True,False,True,True,-0.33333333333333337,
GSM,Claude,GSM_009,False,False,False,True,False,-1.0,
GSM,Claude,GSM_010,True,True,False,True,True,-0.33333333333333337,
GSM,Claude,GSM_011,True,True,False,True,True,-0.33333333333333337,
GSM,Claude,GSM_012,True,True,True,False,False,0.6666666666666666,
GSM,Claude,GSM_013,False,False,True,True,True,-0.33333333333333337,
GSM,Claude,GSM_014,True,True,True,True,True,0.0,
GSM,Claude,GSM_015,True,False,False,True,True,-0.6666666666666667,
GSM,Claude,GSM_016,True,True,True,True,True,0.0,
GSM,Claude,GSM_017,True,True,True,True,True,0.0,
GSM,Claude,GSM_018,True,True,True,True,True,0.0,
GSM,Claude,GSM_019,False,False,True,True,True,-0.33333333333333337,
GSM,Claude,GSM_020,True,True,True,True,True,0.0,
GSM,Claude,GSM_041,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_042,True,True,True,True,True,0.0,
GSM,Claude,GSM_043,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_044,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_045,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_046,True,True,True,True,True,0.0,
GSM,Claude,GSM_047,True,False,False,False,True,0.3333333333333333,
GSM,Claude,GSM_048,True,True,True,True,True,0.0,
GSM,Claude,GSM_049,True,True,True,False,True,1.0,
GSM,Claude,GSM_050,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_051,True,True,True,True,True,0.0,
GSM,Claude,GSM_052,False,False,False,False,False,0.0,
GSM,Claude,GSM_053,True,True,True,False,True,1.0,
GSM,Claude,GSM_054,True,True,True,False,True,1.0,
GSM,Claude,GSM_055,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_056,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_057,True,True,True,True,True,0.0,
GSM,Claude,GSM_058,False,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_059,True,True,True,True,False,-0.33333333333333337,
GSM,Claude,GSM_060,False,False,False,False,False,0.0,
GSM,Claude,GSM_061,True,True,True,False,True,1.0,
GSM,Claude,GSM_062,False,True,False,False,False,0.3333333333333333,
GSM,Claude,GSM_063,True,True,True,True,True,0.0,
GSM,Claude,GSM_064,True,True,True,True,True,0.0,
GSM,GPT-4o,GSM_001,True,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_002,True,True,True,False,True,1.0,
GSM,GPT-4o,GSM_003,True,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_004,True,True,True,True,True,0.0,
GSM,GPT-4o,GSM_005,True,False,False,False,False,0.0,
GSM,GPT-4o,GSM_006,True,True,True,True,False,-0.33333333333333337,
GSM,GPT-4o,GSM_007,True,True,True,True,True,0.0,
GSM,GPT-4o,GSM_008,True,False,False,False,False,0.0,
GSM,GPT-4o,GSM_009,False,False,False,False,False,0.0,
GSM,GPT-4o,GSM_010,True,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_011,True,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_012,True,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_013,True,False,True,True,True,-0.33333333333333337,
GSM,GPT-4o,GSM_014,True,True,True,False,False,0.6666666666666666,
GSM,GPT-4o,GSM_015,True,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_016,False,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_017,True,True,False,False,False,0.3333333333333333,
GSM,GPT-4o,GSM_018,True,True,False,True,False,-0.6666666666666667,
GSM,GPT-4o,GSM_019,False,False,False,True,False,-1.0,
GSM,GPT-4o,GSM_020,True,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_001,True,True,True,True,True,0.0,
GSM,Llama,GSM_002,True,True,True,False,True,1.0,
GSM,Llama,GSM_003,True,True,True,True,False,-0.33333333333333337,
GSM,Llama,GSM_004,True,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_005,False,False,False,False,False,0.0,
GSM,Llama,GSM_006,False,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_007,True,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_008,False,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_009,True,True,True,False,True,1.0,
GSM,Llama,GSM_010,True,True,False,False,True,0.6666666666666666,
GSM,Llama,GSM_011,True,True,False,False,True,0.6666666666666666,
GSM,Llama,GSM_012,True,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_013,True,True,True,False,False,0.6666666666666666,
GSM,Llama,GSM_014,True,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_015,True,True,False,False,True,0.6666666666666666,
GSM,Llama,GSM_016,True,True,False,False,False,0.3333333333333333,
GSM,Llama,GSM_017,True,False,False,False,False,0.0,
GSM,Llama,GSM_018,True,True,False,True,False,-0.6666666666666667,
GSM,Llama,GSM_019,False,False,False,False,False,0.0,
GSM,Llama,GSM_020,True,True,False,False,False,0.3333333333333333,
GSM,Gemini,GSM_001,True,True,True,False,False,0.6666666666666666,
GSM,Gemini,GSM_002,True,True,True,False,True,1.0,
GSM,Gemini,GSM_003,True,True,True,True,False,-0.33333333333333337,
GSM,Gemini,GSM_004,True,True,True,False,True,1.0,
GSM,Gemini,GSM_005,False,True,False,True,True,-0.33333333333333337,
GSM,Gemini,GSM_006,True,True,True,False,False,0.6666666666666666,
GSM,Gemini,GSM_007,True,True,True,False,False,0.6666666666666666,
GSM,Gemini,GSM_008,True,False,False,False,False,0.0,
GSM,Gemini,GSM_009,False,False,False,False,False,0.0,
GSM,Gemini,GSM_010,True,True,False,False,False,0.3333333333333333,
GSM,Gemini,GSM_011,True,True,False,False,False,0.3333333333333333,
GSM,Gemini,GSM_012,True,True,False,False,False,0.3333333333333333,
GSM,Gemini,GSM_013,True,False,True,False,True,0.6666666666666666,
GSM,Gemini,GSM_014,True,True,True,True,True,0.0,
GSM,Gemini,GSM_015,True,False,False,False,False,0.0,
GSM,Gemini,GSM_016,True,False,False,False,False,0.0,
GSM,Gemini,GSM_017,True,True,False,False,False,0.3333333333333333,
GSM,Gemini,GSM_018,True,True,False,True,False,-0.6666666666666667,
GSM,Gemini,GSM_019,True,True,False,False,False,0.3333333333333333,
GSM,Gemini,GSM_020,True,True,False,False,False,0.3333333333333333,
GSM,Gemini,GSM_041,True,True,False,True,True,-0.33333333333333337,
GSM,Gemini,GSM_042,True,True,True,True,True,0.0,
GSM,Gemini,GSM_043,True,True,True,True,True,0.0,
GSM,Gemini,GSM_044,True,True,True,True,True,0.0,
GSM,Gemini,GSM_045,True,True,True,True,False,-0.33333333333333337,
GSM,Gemini,GSM_046,True,True,True,True,True,0.0,
GSM,Gemini,GSM_047,True,True,True,True,True,0.0,
GSM,Gemini,GSM_048,True,True,True,True,True,0.0,
GSM,Gemini,GSM_049,True,True,True,True,True,0.0,
GSM,Gemini,GSM_050,True,True,True,True,False,-0.33333333333333337,
GSM,Gemini,GSM_051,True,True,True,True,True,0.0,
GSM,Gemini,GSM_052,False,False,False,False,False,0.0,
GSM,Gemini,GSM_053,True,True,True,True,True,0.0,
GSM,Gemini,GSM_054,True,True,True,False,True,1.0,
GSM,Gemini,GSM_055,True,True,False,True,False,-0.6666666666666667,
GSM,Gemini,GSM_056,True,False,True,False,False,0.3333333333333333,
GSM,Gemini,GSM_057,True,True,True,True,True,0.0,
GSM,Gemini,GSM_058,True,True,True,True,True,0.0,
GSM,Gemini,GSM_059,True,True,True,True,False,-0.33333333333333337,
GSM,Gemini,GSM_060,False,False,False,True,False,-1.0,
GSM,Gemini,GSM_061,True,True,True,False,True,1.0,
GSM,Gemini,GSM_062,True,True,True,False,False,0.6666666666666666,
GSM,Gemini,GSM_063,True,True,True,True,True,0.0,
GSM,Gemini,GSM_064,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_001,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_002,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_003,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_004,True,False,True,True,True,-0.33333333333333337,
GSM,o4-mini,GSM_005,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_006,True,False,True,True,True,-0.33333333333333337,
GSM,o4-mini,GSM_007,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_008,True,True,True,True,False,-0.33333333333333337,
GSM,o4-mini,GSM_009,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_010,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_011,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_012,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_013,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_014,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_015,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_016,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_017,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_018,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_019,False,False,True,True,True,-0.33333333333333337,
GSM,o4-mini,GSM_020,True,True,True,True,True,0.0,
GSM,o4-mini,GSM_041,True,True,True,True,True,0.0,
