family,model,field,old,new
GSM,claude,canonical,0.818,0.8409090909090909
GSM,claude,W2,0.682,0.7727272727272727
GSM,claude,W4,0.682,0.6363636363636364
GSM,claude,W5,0.864,0.8181818181818182
GSM,claude,W6,0.792,0.75
GSM,gpt4o,n_problems,44,20.0
GSM,gpt4o,canonical,0.818,0.85
GSM,gpt4o,W1,0.818,0.75
GSM,gpt4o,W2,0.591,0.3
GSM,gpt4o,W3,0.477,0.3
GSM,gpt4o,W4,0.477,0.2
GSM,gpt4o,W5,0.545,0.3
GSM,gpt4o,W6,0.792,0.8
GSM,llama,n_problems,44,20.0
GSM,llama,canonical,0.773,0.8
GSM,llama,W1,0.727,0.85
GSM,llama,W2,0.455,0.25
GSM,llama,W3,0.409,0.15
GSM,llama,W4,0.318,0.3
GSM,llama,W5,0.25,0.05
GSM,llama,W6,0.625,0.45
GSM,o4mini,canonical,0.879,0.8409090909090909
BW,claude,W5,0.523,0.5666666666666667
BW,claude,W6,0.508,
BW,gpt4o,canonical,0.089,0.06153846153846154
BW,gpt4o,W1,0.085,0.09230769230769231
BW,gpt4o,W2,0.067,0.09230769230769231
BW,gpt4o,W3,0.244,0.16923076923076924
BW,gpt4o,W4,0.044,0.07692307692307693
BW,gpt4o,W5,0.178,0.26666666666666666
BW,gpt4o,W6,0.215,
BW,llama,canonical,0.022,0.015384615384615385
BW,llama,W1,0.0,0.03076923076923077
BW,llama,W2,0.0,0.015384615384615385
BW,llama,W3,0.156,0.1076923076923077
BW,llama,W6,0.031,
BW,gemini,W5,0.569,0.6166666666666667
BW,gemini,W6,0.338,
BW,o4mini,n_problems,,65.0
BW,o4mini,canonical,,0.7692307692307693
BW,o4mini,W1,,0.7538461538461538
BW,o4mini,W2,,0.7384615384615385
BW,o4mini,W3,,0.18461538461538463
BW,o4mini,W4,,0.4153846153846154
BW,o4mini,W5,,0.8333333333333334
ALGO,claude,W6,0.1,
ALGO,gpt4o,W6,0.2,
ALGO,llama,W6,0.056,
ALGO,gemini,canonical,0.109,0.4636363636363636
ALGO,gemini,W6,0.144,
ALGO,o4mini,n_problems,20,110.0
ALGO,o4mini,W1,0.95,0.9636363636363636
ALGO,o4mini,W2,0.95,0.2545454545454545
ALGO,o4mini,W3,0.7,0.6090909090909091
ALGO,o4mini,W4,0.85,0.7363636363636363
ALGO,o4mini,W5,,0.04
